1996 Item,Predicted HS Code,Confidence Score
"Spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",7097000,1.0
1/ Valued $2.65/kg or more,99041213,0.5670647621154785
Missing description,70200060,0.3560498356819153
"Table, kitchen or other household articles, including parts, of iron or steel, coated or plated with precious metal other than silver",73239950,0.783852219581604
"Sacks and bags, having a base of a width of 40 cm or more, of paper, paperboard, cellulose wadding or webs of cellulose fibers",48193000,1.0
Aluminum powders of lamellar structure; aluminum flakes,76032000,0.984425961971283
Hydrogen chloride (Hydrochloric acid),28061000,1.0000001192092896
Acetates of polyhydric alcohols or of polyhydric alcohol ethers,29153947,1.0
Missing description,70200060,0.3560498356819153
"Figs, other than whole, fresh or dried (including fig paste)",8042080,0.9904392957687378
"1/ Toilet paper, of cellulose webbing or webs of",48183000,0.6626802086830139
Described in additional U.S note 8 to chapter 17 and entered pursuant to its provisions,99150441,0.5193716883659363
Articles of cadmium nesi,81126990,0.8680962324142456
"Loudspeakers nesi, not mounted in their enclosures",85182980,0.8926501870155334
Missing description,70200060,0.3560498356819153
"Electrical electrophoresis instruments, not incorporating an optical or other measuring device",90279054,0.9412280321121216
"Articles of yarn, strip, twine, cordage, rope or cables nesi, of man-made fibers",56090030,0.9733644723892212
Forks of base metal plated with precious metal,82159130,0.9784532189369202
1/ Valued $1.80/kg or more,99041217,0.5376459956169128
Missing description,70200060,0.3560498356819153
"Carpets & other textile floor coverings, not of pile construction, woven, not made up, of cotton",57025056,1.0
Parsley seeds of a kind used for sowing,12099150,1.0000001192092896
"Women's or girls' ensembles, not knitted or crocheted, of cotton, other than judo, karate and other oriental martial arts uniforms",62042230,1.0
"Oilcake and other solid residues, resulting from the extraction of vegetable fats or oils, of coconut or copra",23065000,1.0
"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures, nesi",38019000,0.9698748588562012
Missing description,70200060,0.3560498356819153
Valued not over $40 each incorporating a digital clock or clock-timer,91070040,0.6997280716896057
"Polyisobutylene, elastomeric, in primary forms",39022010,1.0
"Women's or girls' trousers, breeches & shorts, not knit or crocheted, of artificial fibers, cont. 36% or more of wool or fine animal hair",62046922,0.9236723184585571
"Other woven fabrics of cotton, nesi, weighing more than 200 g/m2, unbleached",52122160,0.9573037624359131
"Coated multi-ply paper and paperboard, nesi, in rolls or sheets",48109265,0.8457982540130615
Cyclohexane,29021100,1.0
"Silicon dioxide, other than synthetic silica gel",28112250,1.0
"Piassava, couch-grass and other vegetable materials nesi, of a kind used primarily in brooms or brushes",14049040,0.9659593105316162
Other,9030000,0.3508177697658539
Rolls for metal-rolling mills,84553000,1.0
"Pictures, designs and photographs printed not over 20 years at time of importation, used in production of articles of heading 4901",49119115,1.0
Wet blues,15219020,0.39719265699386597
"Sails for boats, sailboards or landcraft, of textile materials other than of synthetic fibers",63063000,0.8702950477600098
"Glass in balls (other than microspheres of heading 7018), unworked, over 6 mm in diameter",70021020,0.9914562702178955
"1/ Other, insulated for cold",3049991,0.4589114189147949
Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,72024910,1.0
"Clasps and frames with clasps, incorporating locks, of base metal",83015000,0.9777957797050476
"Men's or boys' suits of wool or fine animal hair, not knitted or crocheted, nesi",62031190,0.9812770485877991
Missing description,70200060,0.3560498356819153
Described in general note 15 of the tariff schedule and entered pursant to its provisions,99122105,0.5091485977172852
Other,9030000,0.3508177697658539
"Cuttle fish and squid, live, fresh or chilled",3074200,0.9743931889533997
"Nonadhesive plates, sheets, film, foil and strip, noncellular, not combined with other materials, of cellulose derivatives, nesi",39207950,0.9793990850448608
"Combinations of thermometers, barometers and similar temperature and atmosphere measuring and recording instruments, nonelectrical",90258050,1.0
Not lined with textile fabrics,63023900,0.7028782367706299
Chlorosulfuric acid,28062000,1.0
Numerically controlled,84602400,0.5509985089302063
1/ Provided for in subheading 1702.20.28.... 1/ 6.3¢/kg of total sugars + 1.9%,99041739,0.664087176322937
"Wooden pickets, palings, posts and rails, which are sawn; assembled wooden fence sections",44219970,0.8968982100486755
1/ Subject to the quantitative,62082910,0.3602848947048187
"Brake linings and pads, not mounted, with a basis of asbestos, or of other mineral substances or cellulose",68138100,0.8646217584609985
"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesi",30063050,0.9663337469100952
"Birds' eggs, not in shell, other than dried, whether or not containing added sweeteners",4089900,1.0000001192092896
"Articles of gold, including metal clad with gold, nesi",71159060,0.8189998865127563
"Aromatic pesticides of organo-sulfur compounds, nesi",29309010,0.9573270678520203
"Watch cases, not of precious metal, of metal clad with precious metal or of base metal",91118000,1.0000001192092896
Butylene oxide,29109010,0.9999998807907104
Sweet biscuits (pastry); waffles and wafers,19053200,0.8395663499832153
"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol., nesi",22089080,0.975658655166626
"Sports footwear with outer soles and uppers of rubber or plastics, nesi, valued over $12/pair",64021990,0.9673577547073364
Other,9030000,0.3508177697658539
Machines and appliances for testing the mechanical properties of metals,90241000,1.0000001192092896
"Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length exceeding 200 m, for color photography",37024101,1.0000001192092896
Parts and accessories other than photoreceptors or assemblies containing photoreceptors of electrostatic copying machines of subeheading 9009.12,84433930,0.6468601226806641
1/ Valued less than 10¢/kg............. 1/ 36.6¢/kg,99040416,0.5092811584472656
"Seeds of beans nesi, of a kind used for sowing",7133911,0.9348809719085693
1/ Valued not over $1.72/kg....... 1/ 84¢/kg (MX),99129543,0.5675555467605591
"Interchangeable tools nesi, not suitable for cutting metal, not for hand tools, and parts thereof, of base metal",82079060,0.8744800686836243
"Cotton damask tablecloths and napkins, not knitted or crocheted",63025110,0.9782434701919556
Missing description,70200060,0.3560498356819153
"Percussion musical instruments, nesi, except for drums, cymbals, chimes, peals or carillons (for example, xylophones, castanets, maracas)",92060080,0.9393594264984131
"Ash and residues (other than from the manufacture of iron or steel), containing mainly vanadium",26209910,1.0000001192092896
"Tomatoes, fresh or chilled, if entered from March 1 to July 14, inclusive, or from September 1 to November 14, inclusive, in any year",7020020,0.9075961112976074
1/ Valued 10¢/kg or more,99041810,0.5339207649230957
"Mace, bombay or wild, ground",9082220,0.8969017267227173
Missing description,70200060,0.3560498356819153
"6-Bromo-5-methyl-1h-imidazo-4,5-b pyridine, 2-sec-butyl-4-tert-butyl-6-(benzotriazol-2-yl)phenol, 2-tert-butyl",29339912,0.9544954895973206
"1u(s*),3u(Z)-(o)-cyano(3-phenoxypheyl)methyl 3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate",29081905,0.6921637654304504
"Transfers (decalcomanias), vitrifiable",49081000,1.0
"Sheep or lamb skin leather, w/o wool on, not incl. chamois, patent, patent laminated or metallized leather, pretanned other than vegetable",41120030,0.7867237329483032
1/ Valued not over $1.27/kg....... 1/ 74.1¢/kg (MX),99129543,0.5528881549835205
Other,9030000,0.3508177697658539
Airbags,87089520,0.6304670572280884
Accounting machines,84709001,0.6855663657188416
"Tapestry and upholstery fabrics of carded wool or fine animal hair, not mixed mainly or solely with man-made staple fibers or filaments, exceeding 300 g/m2",51113005,0.9670578837394714
"Uncoated, unbleached kraft wrapping paper in rolls or sheets, weighing 150 g/m2 or less",48043140,1.0
1/ Valued $1.40/kg or more,99129539,0.5657020807266235
"Chandeliers and other electric ceiling or wall lighting fixtures, excluding those for public spaces, of base metal other than brass",94051160,0.8256139159202576
Other,9030000,0.3508177697658539
Thymol,29071940,1.0000001192092896
"Disinfectants, containing any aromatic or modified aromatic disinfectant",38089410,1.0000001192092896
Carbonaceous pastes for electrodes and similar pastes for furnace linings,38013000,1.000000238418579
"Buttons of plastics, other than of casein or acrylic or polyester resins, not covered with textile materials",96062160,0.9687315225601196
"Nonrectangular plates, sheets and strip of aluminum, not alloyed, of a thickness exceeding 0.2 mm, clad",76061230,0.8349503874778748
Low fuming brazing rods of copper-zinc base alloys (brass),74072150,0.9786185622215271
Of cotton or man-made fibers,52030005,0.7563950419425964
1/ Other.......................... 1/ 65.7% (MX),99040408,0.525658905506134
"Organic composite solvents and thinners containing 5 to 25 percent, by weight of one or more aromatic substances",38140010,1.0000001192092896
"Fabrics specified in note 9 to section XI, of synthetic filament yarn, nesi",54073090,0.9370577931404114
"Furniture of cane, osier, bamboo or similar materials, nesi, other than seats",94039920,0.9188755750656128
Other,9030000,0.3508177697658539
"Paper and paperboard labels, printed by other than a lithographic process",48211040,1.0000001192092896
"Gas compressors, nesi",84148020,0.9059322476387024
Described in additional U.S note 18 to this chapter and entered pursuant to its provisions,99150441,0.5384131669998169
"Tools for working in the hand, with self-contained nonelectric, nonpneumatic motor, suitable for metal working, nesi",84678910,0.9240236282348633
"Smoking pipes and pipe bowls, except of wood, root or wholly clay",96140028,0.9837013483047485
Missing description,70200060,0.3560498356819153
"Scallops, including queen scallops, whether in shell or not, frozen, dried, salted or in brine",3072100,0.8755265474319458
"Woven fabrics of synthetic staple fibers, nesi, under 85% by weight of such fibers, mixed mainly with cotton, over 170g/m2, of colored yarns",55143039,0.9300499558448792
"Raw skins of sheep or lambs with wool on, fresh or preserved, not further prepared, other than those excluded by note 1(c) to chapter 41",41021030,0.9592728614807129
Missing description,70200060,0.3560498356819153
"1/ Cheeses and substitutes for cheeses, valued",99040642,0.6656323671340942
"Wall clocks nesi, not battery/AC powered,movement n/o 50 mm wide, over 1 jewel, constructed or designed to operate over 47 hrs w/o rewinding",91052920,0.8762882947921753
Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades; consisting wholly of inorganic substances,38130010,0.9965927600860596
Cups valued over $8 but not over $29 per dozen saucers valued over $5.25 but not over $18.75 per dozen soups oatmeals and cereals valued over $9.30 but not over $33 per dozen plates not over 22.9cm in,2072540,0.5232251286506653
"Floral or flower waters, not containing alcohol",33030010,1.000000238418579
Cassava (manioc) starch,11081400,0.9999998807907104
"Gauze, other than narrow fabrics of heading 5806, of other textile materials nesi",58030090,0.9405038356781006
